Time,CO*,O*,O2*,*,R_CO,R_O2,R_CO2
10200.0,0.0,0.9264322916666666,0.0,0.07356770833333333,0.0,-1.0850694444444444e-06,0.0
10300.0,0.0,0.9267578125,0.0,0.0732421875,0.0,-1.0850694444444444e-06,0.0
10400.0,0.0,0.9268663194444444,0.0,0.07313368055555555,0.0,-8.138020833333333e-07,0.0
10500.0,0.0,0.9270833333333334,0.0,0.07291666666666667,0.0,-1.3563368055555556e-06,0.0
10600.0,0.0,0.9274088541666666,0.0,0.07259114583333333,0.0,-1.0850694444444444e-06,0.0
10700.0,0.0,0.9275173611111112,0.0,0.0724826388888889,0.0,-2.712673611111111e-07,0.0
10800.0,0.0,0.9275173611111112,0.0,0.0724826388888889,0.0,-2.712673611111111e-07,0.0
10900.0,0.0,0.9276258680555556,0.0,0.07237413194444445,0.0,-5.425347222222222e-07,0.0
11000.0,0.0,0.927734375,0.0,0.072265625,0.0,-5.425347222222222e-07,0.0
11100.0,0.0,0.9278428819444444,0.0,0.07215711805555555,0.0,-2.712673611111111e-07,0.0
11200.0,0.0,0.9278428819444444,0.0,0.07215711805555555,0.0,-2.712673611111111e-07,0.0
11300.0,0.0,0.9279513888888888,0.0,0.0720486111111111,0.0,-5.425347222222222e-07,0.0
11400.0,0.0,0.9280598958333334,0.0,0.07194010416666667,0.0,-5.425347222222222e-07,0.0
11500.0,0.0,0.9281684027777778,0.0,0.07183159722222222,0.0,-2.712673611111111e-07,0.0
11600.0,0.0,0.9281684027777778,0.0,0.07183159722222222,0.0,-2.712673611111111e-07,0.0
11700.0,0.0,0.9282769097222222,0.0,0.07172309027777778,0.0,-8.138020833333333e-07,0.0
11800.0,0.0,0.9284939236111112,0.0,0.0715060763888889,0.0,-5.425347222222222e-07,0.0
11900.0,0.0,0.9284939236111112,0.0,0.0715060763888889,0.0,-8.138020833333333e-07,0.0
12000.0,0.0,0.9288194444444444,0.0,0.07118055555555555,0.0,-1.0850694444444444e-06,0.0
12100.0,0.0,0.9289279513888888,0.0,0.0710720486111111,0.0,-2.712673611111111e-07,0.0
12200.0,0.0,0.9289279513888888,0.0,0.0710720486111111,0.0,0.0,0.0
